unit_id,origin_trip_count,origin_expanded_mass,destination_trip_count,destination_expanded_mass,unit_x_32719,unit_y_32719,unit_area_km2,unit_bbox_span_m,geometry_source,support_endpoint_count,support_x_32719,support_y_32719,support_bbox_span_m,representation,tile_id,partition
182,103912,143000.5554,95247,130524.37150000001,349364.67070477706,6298367.895245768,0.933950648916341,1301.8633642182683,official_shapezona777,199159.0,349271.0055935208,6298521.668054168,1764.0,zona777,E23_N419,train
183,298832,400719.05840000004,338775,464239.4106,350199.3085677691,6298902.760218522,1.1154268165040873,1669.5064805857835,official_shapezona777,637607.0,350443.8888563018,6298914.050437025,1846.0,zona777,E23_N419,train
184,93767,132525.668,84142,116404.22780000001,350837.93228914606,6299173.822815077,0.9525171118163932,1724.85040150024,official_shapezona777,177909.0,350759.6940402116,6299055.256254602,2027.0,zona777,E23_N419,train
185,37657,53926.3424,20676,29149.369,351775.5601467325,6299886.864267891,0.7023108543213673,1648.332164819003,official_shapezona777,58333.0,351324.5294773113,6299865.1238235645,2130.0,zona777,E23_N419,train
186,111126,145828.86949999997,72584,100047.19470000001,351680.97568420536,6299084.53208513,1.0161514393524698,1549.3989092713457,official_shapezona777,183710.0,351864.56140656467,6299281.832594851,2025.0,zona777,E23_N419,train
187,36903,49508.081499999986,25061,35142.507099999995,352146.9988985737,6298785.017956217,1.0200218156379248,2018.440814693284,official_shapezona777,61964.0,352046.3832709315,6299127.497224195,2113.0,zona777,E23_N419,train
188,45779,66036.341,54076,75590.4815,351373.3725863256,6302596.985027634,0.9429381038291604,1935.1161564710785,official_shapezona777,99855.0,351513.47945521004,6302734.497601522,1733.0,zona777,E23_N420,test
189,127976,178011.5927,66323,93601.6361,351528.1795309214,6303533.174777992,1.5837531767784283,1685.4890012653775,official_shapezona777,194299.0,352001.0174370429,6303331.020658881,2238.0,zona777,E23_N420,test
19,50214,78127.68980000001,40285,59287.4707,344551.4875206832,6304596.324532353,0.6741890143972759,1642.226269904524,official_shapezona777,90499.0,344655.05983491533,6304700.759433806,1800.0,zona777,E22_N420,validation
190,31297,46106.275499999996,33092,44998.1664,352263.3576632376,6304139.953005432,1.0916339773988843,1965.364043700276,official_shapezona777,64389.0,352373.1864293591,6303944.829163366,2448.0,zona777,E23_N420,test
191,37293,55502.9974,20410,28600.7066,352666.76509392064,6304695.929927895,1.565189433293338,1997.8066031453784,official_shapezona777,57703.0,353226.23284751223,6304435.0718333535,2394.0,zona777,E23_N420,test
192,51162,70767.3894,37423,51182.445,353531.6376364402,6305096.466311475,1.0370772536507629,1508.755086983554,official_shapezona777,88585.0,353532.24930857366,6305169.7854828695,1856.0,zona777,E23_N420,test
193,65476,96952.35960000001,38756,53648.634900000005,354870.11523868906,6305178.570266491,1.7056879910238434,1988.4197757707443,official_shapezona777,104232.0,354583.74047317525,6304989.901095632,2424.0,zona777,E23_N420,test
194,38846,57475.2499,33546,47264.8112,356098.40750466567,6305651.026005785,1.147148345521354,1973.821585185011,official_shapezona777,72392.0,356033.0791662062,6305363.267128965,1939.0,zona777,E23_N420,test
195,131080,194106.2769,113718,158210.7647,353337.0509789918,6303598.690455986,1.000864070298658,1586.316506634641,official_shapezona777,244798.0,353047.53722661134,6303549.281865048,2296.0,zona777,E23_N420,test
196,14993,21762.0315,60782,84787.5104,354231.5132224283,6304044.585443387,0.7339783808421768,1219.4574400587007,official_shapezona777,75775.0,354009.7464071264,6304215.184414385,1350.0,zona777,E23_N420,test
197,21919,31770.7138,41271,58071.5477,354955.6227229481,6304595.363619889,0.565617511288436,1393.484668880934,official_shapezona777,63190.0,355238.22695046687,6304837.943392942,1733.0,zona777,E23_N420,test
198,21840,32961.7419,22003,31249.46,356478.363117029,6304994.609932876,0.9625571339002412,1621.733118861448,official_shapezona777,43843.0,356601.83094222564,6304908.669114796,2195.0,zona777,E23_N420,test
