zone_id,origin_trip_count,origin_expanded_mass,destination_trip_count,destination_expanded_mass
391,87676,126268.80890000002,82282,124290.00760000003
541,87564,126199.18059999999,82461,110773.44820000003
740,80721,126179.49470000002,17042,25889.4135
337,88172,125257.915,101890,148024.0716
371,90698,124384.70539999998,52840,79068.956
611,78528,124253.1064,84842,123769.58410000001
229,85061,124016.50009999999,57437,81835.5537
522,64401,122415.13820000002,52400,79684.9872
119,87111,121414.8947,98638,141457.63530000002
168,81042,118612.78570000001,77123,116752.6282
116,86341,118512.64120000001,102625,147785.3829
279,83223,117820.92999999998,68431,96644.41829999999
780,85062,116517.25109999998,50790,76262.5036
655,74511,114665.83579999999,59101,87317.1445
593,79795,113647.5177,74882,109126.31620000002
172,73590,111747.85070000001,26641,38940.63420000001
165,72281,110096.98680000001,50796,74505.5449
227,77434,109580.77380000002,72036,100097.0622
455,73769,108680.6931,45151,65573.25949999999
741,67643,106260.81140000002,43420,63941.223999999995
72,75227,105454.47320000001,62024,89306.2602
791,77603,103841.15370000002,75405,111342.8711
686,74479,103786.12090000001,58539,83433.8927
451,75803,101351.31999999999,51517,74788.87510000002
645,70825,100372.60100000001,68121,93170.34120000001
442,67749,100351.8927,63640,90775.9455
202,67974,99896.09310000001,70022,97538.0546
475,68338,99598.86039999999,82486,119571.361
806,66308,99320.31259999999,52389,78205.1873
228,68066,98110.143,70206,99090.7407
193,65610,97153.75700000001,38775,53676.9994
446,67163,96665.2461,53912,76564.7478
483,61751,94614.576,56087,82015.02329999999
506,60725,94564.43569999999,30589,50266.4621
702,64363,94200.7117,62601,91721.7715
630,57720,94084.1039,34323,52069.12900000001
837,54302,92848.30850000001,34263,52593.8732
550,60544,92326.78019999998,54856,80961.29590000003
493,60731,92069.07750000001,47674,71835.5596
492,58756,91680.26840000002,39987,59627.1174
67,56391,91470.7013,50923,77652.21740000001
746,62057,90986.5051,30919,45628.126000000004
760,64853,90953.7131,17391,24894.4792
