service_date,day_class,table,field,valid,missing,invalid,zero,negative,min,max,mean,std
2024-11-18,laboral,etapas,y_bajada,3719530,1068306,0,0,0,6270146.0,6312652.0,6296078.42260178,6370.717152036339
2024-11-18,laboral,etapas,dist_ruta_paraderos,3719530,1068306,0,43694,17263,-50664.0,55566.0,7547.655726395539,6390.9404483536455
2024-11-18,laboral,etapas,dist_eucl_paraderos,3719530,1068306,0,0,0,9.0,6322264.0,17500.431039405517,265877.96063913725
2024-11-19,laboral,viajes,factor_expansion,3625203,0,0,966110,0,0.0,10.1641,1.000000039197805,0.6139603226054904
2024-11-19,laboral,viajes,n_etapas,3625203,0,0,0,0,1.0,51.0,1.3389349506772448,0.5571689264967524
2024-11-19,laboral,viajes,tviaje,0,3625203,0,0,0,,,,
2024-11-19,laboral,viajes,tviaje2,2129501,1495702,0,0,0,35.0,12539.0,1744.8214802434936,1165.3237442856562
2024-11-19,laboral,viajes,distancia_eucl,2665585,959618,0,6,0,0.0,6320362.0,8268.156919716874,47894.27358873217
2024-11-19,laboral,viajes,distancia_ruta,3625203,0,0,1040877,12745,-47178.0,62651.0,7051.25011454531,7727.490153365841
2024-11-19,laboral,viajes,tiempo_inicio_viaje,0,0,3625203,0,0,,,,
2024-11-19,laboral,viajes,tiempo_fin_viaje,0,959668,2665535,0,0,,,,
2024-11-19,laboral,viajes,netapassinbajada,3625203,0,0,2605097,0,0.0,4.0,0.28888009857654867,0.4698914867102165
2024-11-19,laboral,viajes,ultimaetapaconbajada,3625203,0,0,959618,0,0.0,1.0,0.7352926167169122,0.44117727108103416
2024-11-19,laboral,etapas,fExpansionServicioPeriodoTS,4861726,0,0,694352,0,0.0,180.1642,0.9910226061485162,0.5756619077997539
2024-11-19,laboral,etapas,fExpansionZonaPeriodoTS,3803664,1058062,0,0,0,1.0001,13.0011,1.2782887686977609,0.14956467976234736
2024-11-19,laboral,etapas,tiempo2,0,0,4861726,0,0,,,,
2024-11-19,laboral,etapas,tiempo_subida,0,0,4861726,0,0,,,,
2024-11-19,laboral,etapas,tiempo_bajada,0,1050157,3811569,0,0,,,,
2024-11-19,laboral,etapas,tiempo_etapa,3811569,1050157,0,1138,0,0.0,17108.0,1252.0373738478827,851.0024917213855
2024-11-19,laboral,etapas,x_subida,4861726,0,0,0,703,-1.0,361040.0,347004.81198405667,7035.4376518388235
2024-11-19,laboral,etapas,y_subida,4861726,0,0,0,703,-1.0,6312586.0,6295019.239867693,75986.56431397716
2024-11-19,laboral,etapas,x_bajada,3811569,1050157,0,0,0,325720.0,361077.0,347193.9379683275,5523.607065485877
2024-11-19,laboral,etapas,y_bajada,3811569,1050157,0,0,0,6270163.0,6312626.0,6296123.240902893,6345.200497964977
2024-11-19,laboral,etapas,dist_ruta_paraderos,3811569,1050157,0,44229,17483,-48241.0,55415.0,7587.5397283900675,6388.671846903852
2024-11-19,laboral,etapas,dist_eucl_paraderos,3811569,1050157,0,0,0,8.0,6322264.0,19717.101646592255,290541.9128028583
2024-11-20,laboral,viajes,factor_expansion,3655110,0,0,976129,0,0.0,16.4926,0.9999996614055392,0.6141369321511069
2024-11-20,laboral,viajes,n_etapas,3655110,0,0,0,0,1.0,13.0,1.3375983212543534,0.5557338330647792
2024-11-20,laboral,viajes,tviaje,0,3655110,0,0,0,,,,
