service_date,day_class,table,field,empty,dash
2024-11-16,sabado,viajes,factor_expansion,0,0
2024-11-16,sabado,viajes,n_etapas,0,0
2024-11-16,sabado,viajes,tviaje,0,2051573
2024-11-16,sabado,viajes,tviaje2,0,1017506
2024-11-16,sabado,viajes,distancia_eucl,0,754176
2024-11-16,sabado,viajes,distancia_ruta,0,0
2024-11-16,sabado,viajes,tiempo_inicio_viaje,0,0
2024-11-16,sabado,viajes,tiempo_fin_viaje,0,754223
2024-11-16,sabado,viajes,periodo_inicio_viaje,0,0
2024-11-16,sabado,viajes,periodo_fin_viaje,0,0
2024-11-16,sabado,viajes,comuna_inicio_viaje,0,0
2024-11-16,sabado,viajes,comuna_fin_viaje,0,0
2024-11-16,sabado,viajes,zona_inicio_viaje,0,567
2024-11-16,sabado,viajes,zona_fin_viaje,0,757158
2024-11-16,sabado,viajes,netapassinbajada,0,0
2024-11-16,sabado,viajes,ultimaetapaconbajada,0,0
2024-11-16,sabado,viajes,tipo_corte_etapa_viaje,0,0
2024-11-16,sabado,viajes,id_tarjeta,0,0
2024-11-16,sabado,viajes,id_viaje,0,0
2024-11-16,sabado,etapas,tipo_dia,0,0
2024-11-16,sabado,etapas,tipo_transporte,0,0
2024-11-16,sabado,etapas,fExpansionServicioPeriodoTS,0,0
2024-11-16,sabado,etapas,fExpansionZonaPeriodoTS,0,807845
2024-11-16,sabado,etapas,tiene_bajada,0,0
2024-11-16,sabado,etapas,tiempo2,0,0
2024-11-16,sabado,etapas,tiempo_subida,0,0
2024-11-16,sabado,etapas,tiempo_bajada,0,804033
2024-11-16,sabado,etapas,tiempo_etapa,0,804033
2024-11-16,sabado,etapas,x_subida,0,0
2024-11-16,sabado,etapas,y_subida,0,0
2024-11-16,sabado,etapas,x_bajada,0,804033
2024-11-16,sabado,etapas,y_bajada,0,804033
2024-11-16,sabado,etapas,dist_ruta_paraderos,0,804033
2024-11-16,sabado,etapas,dist_eucl_paraderos,0,804033
2024-11-16,sabado,etapas,comuna_subida,0,654
2024-11-16,sabado,etapas,comuna_bajada,0,808141
2024-11-16,sabado,etapas,zona_subida,0,701
2024-11-16,sabado,etapas,zona_bajada,0,808170
2024-11-16,sabado,etapas,periodoSubida,0,0
2024-11-16,sabado,etapas,periodoBajada,0,804033
2024-11-16,sabado,etapas,id_etapa,0,0
2024-11-16,sabado,etapas,correlativo_viajes,0,0
2024-11-17,domingo,viajes,tipodia,0,0
2024-11-17,domingo,viajes,factor_expansion,0,0
2024-11-17,domingo,viajes,n_etapas,0,0
2024-11-17,domingo,viajes,tviaje,0,1191391
2024-11-17,domingo,viajes,tviaje2,0,646722
2024-11-17,domingo,viajes,distancia_eucl,0,503137
2024-11-17,domingo,viajes,distancia_ruta,0,0
2024-11-17,domingo,viajes,tiempo_inicio_viaje,0,0
2024-11-17,domingo,viajes,tiempo_fin_viaje,0,503161
2024-11-17,domingo,viajes,periodo_inicio_viaje,0,0
2024-11-17,domingo,viajes,periodo_fin_viaje,0,0
2024-11-17,domingo,viajes,comuna_inicio_viaje,0,0
2024-11-17,domingo,viajes,comuna_fin_viaje,0,0
2024-11-17,domingo,viajes,zona_inicio_viaje,0,573
2024-11-17,domingo,viajes,zona_fin_viaje,0,505226
2024-11-17,domingo,viajes,netapassinbajada,0,0
2024-11-17,domingo,viajes,ultimaetapaconbajada,0,0
2024-11-17,domingo,viajes,tipo_corte_etapa_viaje,0,0
2024-11-17,domingo,viajes,id_tarjeta,0,0
2024-11-17,domingo,viajes,id_viaje,0,0
2024-11-17,domingo,etapas,tipo_dia,0,0
2024-11-17,domingo,etapas,tipo_transporte,0,0
2024-11-17,domingo,etapas,fExpansionServicioPeriodoTS,0,0
2024-11-17,domingo,etapas,fExpansionZonaPeriodoTS,0,532274
2024-11-17,domingo,etapas,tiene_bajada,0,0
2024-11-17,domingo,etapas,tiempo2,0,0
2024-11-17,domingo,etapas,tiempo_subida,0,0
2024-11-17,domingo,etapas,tiempo_bajada,0,529212
2024-11-17,domingo,etapas,tiempo_etapa,0,529212
2024-11-17,domingo,etapas,x_subida,0,0
2024-11-17,domingo,etapas,y_subida,0,0
2024-11-17,domingo,etapas,x_bajada,0,529212
2024-11-17,domingo,etapas,y_bajada,0,529212
2024-11-17,domingo,etapas,dist_ruta_paraderos,0,529212
2024-11-17,domingo,etapas,dist_eucl_paraderos,0,529212
2024-11-17,domingo,etapas,comuna_subida,0,797
2024-11-17,domingo,etapas,comuna_bajada,0,532174
2024-11-17,domingo,etapas,zona_subida,0,809
2024-11-17,domingo,etapas,zona_bajada,0,532177
2024-11-17,domingo,etapas,periodoSubida,0,0
2024-11-17,domingo,etapas,periodoBajada,0,529212
2024-11-17,domingo,etapas,id_etapa,0,0
2024-11-17,domingo,etapas,correlativo_viajes,0,0
2024-11-18,laboral,viajes,tipodia,0,0
2024-11-18,laboral,viajes,factor_expansion,0,0
2024-11-18,laboral,viajes,n_etapas,0,0
2024-11-18,laboral,viajes,tviaje,0,3558808
2024-11-18,laboral,viajes,tviaje2,0,1483526
2024-11-18,laboral,viajes,distancia_eucl,0,978253
2024-11-18,laboral,viajes,distancia_ruta,0,0
2024-11-18,laboral,viajes,tiempo_inicio_viaje,0,0
2024-11-18,laboral,viajes,tiempo_fin_viaje,0,978300
2024-11-18,laboral,viajes,periodo_inicio_viaje,0,0
2024-11-18,laboral,viajes,periodo_fin_viaje,0,0
2024-11-18,laboral,viajes,comuna_inicio_viaje,0,0
2024-11-18,laboral,viajes,comuna_fin_viaje,0,0
2024-11-18,laboral,viajes,zona_inicio_viaje,0,1375
2024-11-18,laboral,viajes,zona_fin_viaje,0,983196
2024-11-18,laboral,viajes,netapassinbajada,0,0
2024-11-18,laboral,viajes,ultimaetapaconbajada,0,0
2024-11-18,laboral,viajes,tipo_corte_etapa_viaje,0,0
